order_id,Order Date,ship_date,ship_mode,customer_name,segment,state,country,product_id,category,sub_category,product_name,sales,quantity,discount,shipping_cost
AG-2011-2040,01/01/2011,06/01/2011,Standard Class,Toby Braunhardt,Consumer,Constantine,Algeria,OFF-TEN-10000025,Office Supplies,Storage,"Tenex Lockers, Blue",408,2,0,35.46
IN-2011-47883,01/01/2011,08/01/2011,Standard Class,Joseph Holt,Consumer,New South Wales,Australia,OFF-SU-10000618,Office Supplies,Supplies,"Acme Trimmer, High Speed",120,3,0.1,9.72
HU-2011-1220,01/01/2011,05/01/2011,Second Class,Annie Thurman,Consumer,Budapest,Hungary,OFF-TEN-10001585,Office Supplies,Storage,"Tenex Box, Single Width",66,4,0,8.17
IT-2011-3647632,01/01/2011,05/01/2011,Second Class,Eugene Moren,Home Office,Stockholm,Sweden,OFF-PA-10001492,Office Supplies,Paper,"Enermax Note Cards, Premium",45,3,0.5,4.82
IN-2011-47883,01/01/2011,08/01/2011,Standard Class,Joseph Holt,Consumer,New South Wales,Australia,FUR-FU-10003447,Furniture,Furnishings,"Eldon Light Bulb, Duo Pack",114,5,0.1,4.7
IN-2011-47883,01/01/2011,08/01/2011,Standard Class,Joseph Holt,Consumer,New South Wales,Australia,OFF-PA-10001968,Office Supplies,Paper,"Eaton Computer Printout Paper, 8.5 x 11",55,2,0.1,1.8
CA-2011-1510,02/01/2011,06/01/2011,Standard Class,Magdelene Morse,Consumer,Ontario,Canada,TEC-OKI-10002750,Technology,Machines,"Okidata Inkjet, Wireless",314,1,0,24.1
IN-2011-79397,03/01/2011,03/01/2011,Same Day,Kean Nguyen,Corporate,New South Wales,Australia,OFF-AP-10000304,Office Supplies,Appliances,"Hoover Microwave, White",276,1,0.1,125.32
ID-2011-80230,03/01/2011,09/01/2011,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,TEC-CO-10004182,Technology,Copiers,"Hewlett Wireless Fax, Laser",912,4,0.4,107.1
IZ-2011-4680,03/01/2011,07/01/2011,Standard Class,Lindsay Williams,Corporate,Ninawa,Iraq,FUR-NOV-10002791,Furniture,Chairs,"Novimex Swivel Stool, Set of Two",667,4,0,81.26
IN-2011-65159,03/01/2011,07/01/2011,Second Class,Larry Blacks,Consumer,National Capital,Philippines,OFF-ST-10003020,Office Supplies,Storage,"Tenex Lockers, Industrial",338,3,0.45,33.75
IN-2011-65159,03/01/2011,07/01/2011,Second Class,Larry Blacks,Consumer,National Capital,Philippines,FUR-TA-10002797,Furniture,Tables,"Chromcraft Round Table, Adjustable Height",211,1,0.55,21.32
ES-2011-4869686,03/01/2011,07/01/2011,Standard Class,Dorothy Dickinson,Consumer,England,United Kingdom,FUR-BO-10000728,Furniture,Bookcases,"Dania Corner Shelving, Traditional",854,7,0,12.56
